scan_time_kst,recommended_markets,recommended_count,missed_market,missed_changeRate,missed_change_rank,missed_trade_rank,missed_reason,missed_detail
2026-05-11 08:58:15.009000+09:00,"KRW-ADA,KRW-API3,KRW-BSV,KRW-BTC,KRW-CFG,KRW-CHIP,KRW-DOGE,KRW-DRIFT,KRW-ETH,KRW-ONDO",21,KRW-LAYER,24.65753425,1,2,SCORE_TOO_LOW,"SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.00% over 30 minutes."
2026-05-11 08:58:15.009000+09:00,"KRW-ADA,KRW-API3,KRW-BSV,KRW-BTC,KRW-CFG,KRW-CHIP,KRW-DOGE,KRW-DRIFT,KRW-ETH,KRW-ONDO",21,KRW-SUI,23.51077313,2,4,SCORE_TOO_LOW,"SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.00% over 30 minutes."
2026-05-11 08:58:15.009000+09:00,"KRW-ADA,KRW-API3,KRW-BSV,KRW-BTC,KRW-CFG,KRW-CHIP,KRW-DOGE,KRW-DRIFT,KRW-ETH,KRW-ONDO",21,KRW-DEEP,15.37037037,3,17,UNKNOWN,"UNKNOWN: move 0.00% from previous snapshot, 0.00% over 30 minutes."
2026-05-11 08:58:15.009000+09:00,"KRW-ADA,KRW-API3,KRW-BSV,KRW-BTC,KRW-CFG,KRW-CHIP,KRW-DOGE,KRW-DRIFT,KRW-ETH,KRW-ONDO",21,KRW-XEC,13.39285714,4,10,SCORE_TOO_LOW,"SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.00% over 30 minutes."
2026-05-11 08:58:15.009000+09:00,"KRW-ADA,KRW-API3,KRW-BSV,KRW-BTC,KRW-CFG,KRW-CHIP,KRW-DOGE,KRW-DRIFT,KRW-ETH,KRW-ONDO",21,KRW-ENS,7.88423154,7,39,TRADE_VALUE_FILTER_EXCLUDED,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes."
2026-05-11 09:00:20.642000+09:00,"KRW-B3,KRW-BIO,KRW-CPOOL,KRW-DEEP,KRW-LAYER,KRW-PROS,KRW-SUI,KRW-XEC",8,KRW-CKB,6.22406639,1,175,TRADE_VALUE_FILTER_EXCLUDED,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes."
2026-05-11 09:00:20.642000+09:00,"KRW-B3,KRW-BIO,KRW-CPOOL,KRW-DEEP,KRW-LAYER,KRW-PROS,KRW-SUI,KRW-XEC",8,KRW-IMX,3.64963504,1,192,TRADE_VALUE_FILTER_EXCLUDED,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes."
2026-05-11 09:00:20.642000+09:00,"KRW-B3,KRW-BIO,KRW-CPOOL,KRW-DEEP,KRW-LAYER,KRW-PROS,KRW-SUI,KRW-XEC",8,KRW-MINA,5.80912863,2,120,TRADE_VALUE_FILTER_EXCLUDED,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes."
2026-05-11 09:00:20.642000+09:00,"KRW-B3,KRW-BIO,KRW-CPOOL,KRW-DEEP,KRW-LAYER,KRW-PROS,KRW-SUI,KRW-XEC",8,KRW-IOST,3.5502958600000003,2,231,TRADE_VALUE_FILTER_EXCLUDED,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes."
2026-05-11 09:00:20.642000+09:00,"KRW-B3,KRW-BIO,KRW-CPOOL,KRW-DEEP,KRW-LAYER,KRW-PROS,KRW-SUI,KRW-XEC",8,KRW-SOPH,5.18518519,3,80,TRADE_VALUE_FILTER_EXCLUDED,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes."
2026-05-11 09:00:52.815000+09:00,KRW-JTO,1,KRW-CKB,6.22406639,1,175,TRADE_VALUE_FILTER_EXCLUDED,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes."
2026-05-11 09:00:52.815000+09:00,KRW-JTO,1,KRW-IMX,3.64963504,1,192,TRADE_VALUE_FILTER_EXCLUDED,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes."
2026-05-11 09:00:52.815000+09:00,KRW-JTO,1,KRW-MINA,5.80912863,2,120,TRADE_VALUE_FILTER_EXCLUDED,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes."
2026-05-11 09:00:52.815000+09:00,KRW-JTO,1,KRW-IOST,3.5502958600000003,2,231,TRADE_VALUE_FILTER_EXCLUDED,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes."
2026-05-11 09:00:52.815000+09:00,KRW-JTO,1,KRW-SOPH,5.18518519,3,80,TRADE_VALUE_FILTER_EXCLUDED,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes."
2026-05-11 09:13:46.828000+09:00,KRW-ENS,1,KRW-CVC,4.21686747,3,37,TRADE_VALUE_FILTER_EXCLUDED,"TRADE_VALUE_FILTER_EXCLUDED: move 3.39% from previous snapshot, 4.22% over 30 minutes."
2026-05-11 09:13:46.828000+09:00,KRW-ENS,1,KRW-MEGA,1.61290323,7,46,TRADE_VALUE_FILTER_EXCLUDED,"TRADE_VALUE_FILTER_EXCLUDED: move 1.07% from previous snapshot, 1.61% over 30 minutes."
2026-05-11 09:13:46.828000+09:00,KRW-ENS,1,KRW-MBL,1.4084507,8,236,TRADE_VALUE_FILTER_EXCLUDED,"TRADE_VALUE_FILTER_EXCLUDED: move 0.70% from previous snapshot, 0.70% over 30 minutes."
2026-05-11 09:13:46.828000+09:00,KRW-ENS,1,KRW-OPEN,1.04529617,9,56,TRADE_VALUE_FILTER_EXCLUDED,"TRADE_VALUE_FILTER_EXCLUDED: move 1.05% from previous snapshot, 1.05% over 30 minutes."
2026-05-11 09:13:46.828000+09:00,KRW-ENS,1,KRW-BIGTIME,1.7857142857142954,9,144,TRADE_VALUE_FILTER_EXCLUDED,"TRADE_VALUE_FILTER_EXCLUDED: move 0.88% from previous snapshot, 1.79% over 30 minutes."
2026-05-11 09:34:32.129000+09:00,KRW-IP,1,KRW-CTC,3.8135593220338975,10,83,TRADE_VALUE_FILTER_EXCLUDED,"TRADE_VALUE_FILTER_EXCLUDED: move 0.82% from previous snapshot, 3.81% over 30 minutes."
2026-05-11 09:34:32.129000+09:00,KRW-IP,1,KRW-LAYER,1.1428571428571428,255,2,SCORE_TOO_LOW,"SCORE_TOO_LOW: move -0.56% from previous snapshot, 1.14% over 30 minutes."
