market,misses,avg_changeRate,max_changeRate,best_rankByChangeRate,best_rankByTradeValue,mainReason
KRW-STORJ,17,21.13005110828537,32.5,1,16,UNKNOWN
KRW-SOON,55,6.537067245552106,12.55060729,3,56,TRADE_VALUE_FILTER_EXCLUDED
KRW-PENDLE,34,4.9048038151836755,10.65517241,3,75,TRADE_VALUE_FILTER_EXCLUDED
KRW-KERNEL,43,4.716557240465116,10.32388664,2,47,TRADE_VALUE_FILTER_EXCLUDED
KRW-GMT,22,6.156254281363636,9.94475138,2,89,TRADE_VALUE_FILTER_EXCLUDED
KRW-HYPER,43,6.0524746563267735,9.61538462,4,63,TRADE_VALUE_FILTER_EXCLUDED
KRW-NXPC,44,5.3919859925,9.2555332,3,87,TRADE_VALUE_FILTER_EXCLUDED
KRW-CC,34,5.100582114353185,9.09090909,4,60,TRADE_VALUE_FILTER_EXCLUDED
KRW-NEWT,44,5.691874496868463,8.84955752,4,88,TRADE_VALUE_FILTER_EXCLUDED
KRW-WCT,17,5.542986425882353,7.69230769,3,69,TRADE_VALUE_FILTER_EXCLUDED
KRW-BONK,3,3.50582228,7.54716981,8,102,TRADE_VALUE_FILTER_EXCLUDED
KRW-ENA,7,4.772315946316238,7.51445087,7,42,TRADE_VALUE_FILTER_EXCLUDED
KRW-HOLO,30,5.503497488,7.5,5,61,TRADE_VALUE_FILTER_EXCLUDED
KRW-META,5,4.32432432308108,7.432432429999999,6,130,TRADE_VALUE_FILTER_EXCLUDED
KRW-YGG,3,3.6916550433333337,7.396449700000001,1,48,TRADE_VALUE_FILTER_EXCLUDED
KRW-POKT,17,5.118357050166168,7.34463277,2,40,TRADE_VALUE_FILTER_EXCLUDED
KRW-IOST,11,5.311579297272727,6.85714286,2,213,TRADE_VALUE_FILTER_EXCLUDED
KRW-CARV,16,4.7540132687500005,6.81586979,4,64,TRADE_VALUE_FILTER_EXCLUDED
KRW-ATH,31,5.013780144193548,6.7961165,4,44,TRADE_VALUE_FILTER_EXCLUDED
KRW-ASTR,6,2.905220358995635,6.766917293233071,4,68,TRADE_VALUE_FILTER_EXCLUDED
KRW-ARKM,8,4.77053140125,6.76328502,4,92,TRADE_VALUE_FILTER_EXCLUDED
KRW-TT,12,3.3969182201234567,6.666666670000001,3,83,TRADE_VALUE_FILTER_EXCLUDED
KRW-BERA,16,3.8811336712499998,6.59898477,4,34,TRADE_VALUE_FILTER_EXCLUDED
KRW-ESP,40,3.647085004559524,6.54205607,3,79,TRADE_VALUE_FILTER_EXCLUDED
KRW-IOTA,18,3.4192813705555554,6.493506490000001,4,40,TRADE_VALUE_FILTER_EXCLUDED
KRW-GRT,15,5.003075563333334,6.38820639,6,93,TRADE_VALUE_FILTER_EXCLUDED
KRW-PYTH,1,6.33245383,6.33245383,1,122,TRADE_VALUE_FILTER_EXCLUDED
KRW-CTC,29,4.445453856966687,6.276150630000001,5,45,TRADE_VALUE_FILTER_EXCLUDED
KRW-CKB,1,6.22406639,6.22406639,1,175,TRADE_VALUE_FILTER_EXCLUDED
KRW-FLUID,11,4.861202048181818,6.1407076,7,174,TRADE_VALUE_FILTER_EXCLUDED
KRW-MET2,6,5.312954876666667,6.113537119999999,8,176,TRADE_VALUE_FILTER_EXCLUDED
KRW-BLEND,27,3.2365009041995694,6.07734807,4,33,TRADE_VALUE_FILTER_EXCLUDED
KRW-IQ,5,3.976608186982456,5.84795322,5,97,TRADE_VALUE_FILTER_EXCLUDED
KRW-DOT,5,5.133495412,5.8286872800000005,7,98,TRADE_VALUE_FILTER_EXCLUDED
KRW-ATOM,8,4.82968267875,5.821689950000001,3,94,TRADE_VALUE_FILTER_EXCLUDED
KRW-MINA,1,5.80912863,5.80912863,2,120,TRADE_VALUE_FILTER_EXCLUDED
