id,market,price,signedChangeRate,accTradePrice24h,accTradeVolume24h,rankByChangeRate,rankByTradeValue,timestamp
2053214,KRW-KAT,13.0,-0.0298507463,2165108890.503113,166476416.00479507,89,81,1778888710104
2053215,KRW-MEW,0.867,-0.0637149028,1701307095.6990933,1925595015.6598518,226,99,1778888710104
2053216,KRW-ORBS,12.7,-0.0230769231,281203831.9734942,22075238.85334038,59,226,1778888710104
2053217,KRW-RENDER,2798.0,-0.0028510335,2575719358.341578,931136.07442193,24,74,1778888710104
2053218,KRW-ORCA,2179.0,0.0158508159,3447482954.6262417,1614168.96793135,13,62,1778888710104
2053219,KRW-BERA,551.0,-0.0862354892,3878895299.823859,6774875.60557025,253,53,1778888710104
2053220,KRW-SIGN,22.3,-0.05907173,4059477566.5157213,178432324.20112053,212,52,1778888710104
2053221,KRW-VANA,2261.0,-0.0199393151,725198626.726822,315914.49712533,52,162,1778888710104
2053222,KRW-DOT,1958.0,-0.0273224044,1091277688.6562746,550130.01636387,78,126,1778888710104
2053223,KRW-EDGE,152.0,-0.0193548387,841656395.8195711,5420804.35352421,49,149,1778888710104
2053224,KRW-MET2,230.0,-0.029535865,216395042.93324316,929352.35088204,87,243,1778888710104
2053225,KRW-MBL,1.4,-0.0277777778,1032208215.4693352,737439918.819073,80,129,1778888710104
2053226,KRW-FLUID,2418.0,-0.058411215,588633098.016784,229718.4701902,210,179,1778888710104
2053227,KRW-BIGTIME,19.5,-0.0441176471,698803034.9958324,35322541.3563606,154,166,1778888710104
2053228,KRW-SNT,14.9,-0.0197368421,454375417.95706946,30226703.40241882,51,200,1778888710104
2053229,KRW-SOL,132900.0,-0.0249449743,31800353617.80291,236212.29521311,64,12,1778888710104
2053230,KRW-QKC,4.56,-0.0379746835,120526622.21671116,26271918.08942669,129,257,1778888710104
2053231,KRW-META,14.2,-0.0405405405,235129641.99268585,16317369.27683464,142,239,1778888710104
2053232,KRW-IRYS,91.2,-0.1145631068,146970404347.58087,1367764800.679025,258,3,1778888710104
2053233,KRW-SAHARA,56.2,0.0218181818,37590977243.657265,658177496.0290421,10,9,1778888710104
2053234,KRW-MLK,76.4,-0.0316856781,310309294.7453584,4018126.64719069,100,221,1778888710104
2053235,KRW-VTHO,0.816,-0.0500582072,1111037035.5229516,1322058927.199683,183,125,1778888710104
2053236,KRW-KITE,310.0,-0.0251572327,9361220132.3421,29695069.34637728,67,24,1778888710104
2053237,KRW-MINA,90.2,-0.0691434469,588629212.2057073,6351641.06764687,234,180,1778888710104
2053238,KRW-MMT,188.0,-0.0552763819,488798322.26054776,2545563.9389908,198,195,1778888710104
2053239,KRW-CHIP,85.4,-0.0500556174,9414334840.226593,106897869.95911977,182,23,1778888710104
2053240,KRW-ZORA,17.7,-0.0634920635,2029118901.7964995,112477104.4804082,224,88,1778888710104
2053241,KRW-XCN,7.43,-0.0158940397,12026639238.171,1544287072.8182268,40,19,1778888710104
2053242,KRW-GAS,2408.0,-0.0368,1118886444.1741428,460419.4770897,124,124,1778888710104
2053243,KRW-MEGA,149.0,-0.0448717949,6759337041.27151,44994680.80833598,159,31,1778888710104
2053244,KRW-MNT,990.0,-0.0360272639,439057895.52817476,432686.37107466,116,204,1778888710104
2053245,KRW-MOC,40.7,-0.0169082126,142988702.19336057,3490730.49876717,43,255,1778888710104
2053246,KRW-MOODENG,81.7,-0.0576701269,1826808240.6285195,21888693.00649291,207,94,1778888710104
2053247,KRW-XEC,0.0114,-0.0420168067,1673370924.1367316,144216096440.63004,143,101,1778888710104
2053248,KRW-MON,42.1,-0.0431818182,2386663391.2260423,56232547.92414959,147,77,1778888710104
2053249,KRW-ZIL,5.99,-0.0338709677,672096008.1166744,110765471.79977562,109,169,1778888710104
2053250,KRW-GAME2,2.02,-0.0194174757,196758559.40391958,97195213.82172605,50,248,1778888710104
2053251,KRW-STX,373.0,-0.0604534005,4517254286.485513,11807016.60444914,217,44,1778888710104
2053252,KRW-FLOCK,99.2,0.0453108535,5113362135.568109,53220711.0579275,5,41,1778888710104
2053253,KRW-PROVE,370.0,-0.0439276486,167021569.31739125,442677.31647169,152,252,1778888710104
2053254,KRW-BSV,23580.0,-0.0445705024,990917696.700239,41536.02862608,157,135,1778888710104
2053255,KRW-SUI,1633.0,-0.0695156695,23882298689.30706,14227181.96680188,235,15,1778888710104
2053256,KRW-SYRUP,334.0,-0.0564971751,325478745.4571979,949417.39478807,203,219,1778888710104
2053257,KRW-BTC,117811000.0,-0.0169965289,189054835950.6832,1590.00693471,44,2,1778888710104
2053258,KRW-HOLO,109.0,-0.018018018,1780126771.9339771,16100900.51013036,45,96,1778888710104
2053259,KRW-MIRA,117.0,-0.0487804878,932168307.5773873,7861240.02842714,175,140,1778888710104
2053260,KRW-SUN,29.2,-0.0068027211,191662357.68599007,6583640.21221637,27,249,1778888710104
2053261,KRW-ZBT,234.0,0.0833333333,10200926729.888622,45248319.45629793,3,21,1778888710104
2053262,KRW-ONG,98.7,-0.06,633768928.7807207,6342990.75145368,216,174,1778888710104
2053263,KRW-BTT,0.000479,-0.0164271047,932768605.8869839,1939459489260.2898,41,139,1778888710104
2053264,KRW-ENSO,1258.0,-0.0440729483,2245374582.819512,1764556.09881679,153,80,1778888710104
2053265,KRW-BIRB,194.0,-0.0251256281,459105685.2307294,2344408.19183853,66,198,1778888710104
2053266,KRW-ONT,87.7,-0.0498374865,1417793282.1906974,15799032.44755017,179,112,1778888710104
2053267,KRW-SOMI,249.0,-0.0496183206,397211652.9820208,1566070.70459168,178,209,1778888710104
2053268,KRW-DEEP,50.5,-0.0578358209,998267248.5715352,19469098.4477819,209,134,1778888710104
2053269,KRW-STRAX,19.3,-0.035,376823543.247964,19253321.46753484,112,213,1778888710104
2053270,KRW-ICP,3886.0,-0.0618058909,2019902822.7380533,498900.22919415,221,89,1778888710104
2053271,KRW-BREV,176.0,-0.0434782609,1013895520.6110075,5562311.38247066,151,131,1778888710104
2053272,KRW-ICX,55.2,-0.044982699,248779566.5430588,4413086.8980335,160,237,1778888710104
2053273,KRW-POLYX,82.5,0.0248447205,54950600283.515,616246302.7541981,8,6,1778888710104
2053274,KRW-WAXP,9.74,-0.0356435644,219489423.71119517,22346931.06537072,113,242,1778888742253
2053275,KRW-CARV,86.7,-0.0616883117,1288476584.3074715,14401446.54696961,219,117,1778888742253
2053276,KRW-LSK,183.0,-0.0368421053,441604310.9568939,2380820.08693752,123,203,1778888742253
2053277,KRW-0G,758.0,-0.0710784314,1416466936.0931304,1791082.48213976,238,113,1778888742253
2053278,KRW-WIF,305.0,-0.0615384615,1070438271.7607868,3405043.93042218,218,127,1778888742253
2053279,KRW-BORA,53.2,-0.0256410256,555863848.9309314,10328833.74227816,68,189,1778888742253
2053280,KRW-PUNDIX,220.0,-0.0308370044,216227114.35445628,973313.47452277,94,244,1778888742253
2053281,KRW-PROS,1067.0,-0.0273473108,34638387121.60731,30113864.30864623,77,10,1778888742253
2053282,KRW-USD1,1489.0,0.0060810811,162852086.22931686,109683.00637607,21,253,1778888742253
2053283,KRW-BAT,150.0,-0.0384615385,269345580.27682096,1769531.91178104,130,233,1778888742253
2053284,KRW-HUNT,152.0,-0.0256410256,271809461.334371,1776298.67203159,69,232,1778888742253
2053285,KRW-PENGU,13.2,-0.0222222222,3627184712.866218,275165857.61472195,58,57,1778888742253
2053286,KRW-FIL,1504.0,-0.0346598203,1984031627.0338752,1307142.88880082,110,91,1778888742253
2053287,KRW-BEAM,2.75,-0.0316901408,279904757.50499296,100196843.35906546,101,227,1778888742253
2053288,KRW-DOOD,4.19,-0.0584269663,1266719284.4447863,293875089.42823464,211,118,1778888742253
2053289,KRW-WAVES,613.0,0.0065681445,1189213900.1933002,1961478.69706113,20,121,1778888742253
2053290,KRW-USDC,1488.0,0.0081300813,1068879396.4855454,719955.47628172,18,128,1778888742253
2053291,KRW-MOVE,26.1,-0.0543478261,1961160284.1175363,73377170.90822685,197,93,1778888742253
2053292,KRW-TREE,97.4,-0.054368932,1575609395.2134714,15799061.34894245,198,107,1778888742253
2053293,KRW-USDE,1485.0,0.0047361299,44795610.20565867,30168.42595245,22,260,1778888742253
2053294,KRW-AERGO,80.5,-0.0098400984,672512427.4859104,8383234.50223217,30,168,1778888742253
2053295,KRW-WET,123.0,-0.0820895522,958197072.4548665,7493215.68909952,252,138,1778888742253
2053296,KRW-USDT,1488.0,0.0067658999,104716070558.78226,70550266.61547223,19,5,1778888742253
2053297,KRW-USDS,1486.0,0.0108843537,120098538.89570688,80857.36768599,17,258,1778888742253
