id,market,strategyName,strategyVersion,baselinePrice,currentPrice,entryPrice,stopLossPrice,targetPrice,score,eventType,reason,mfePercent,maePercent,maxReturnPercent,maxDrawdownPercent,createdAt,updatedAt
1,KRW-SONIC,Momentum Breakout,v1,63.3,63.3,63.3,62.3505,64.566,45.95848318536643,INITIAL_SIGNAL,Positive trend with strong 24h trading value,0.0,0.0,0.0,0.0,1778457495009,1778457495009
2,KRW-SNT,Momentum Breakout,v1,16.3,16.3,16.3,16.055500000000002,16.626,45.62254870925675,INITIAL_SIGNAL,Positive trend with strong 24h trading value,0.0,0.0,0.0,0.0,1778457495009,1778457495009
3,KRW-QTUM,Momentum Breakout,v1,1535.0,1535.0,1535.0,1511.975,1565.7,44.250758729842936,INITIAL_SIGNAL,Positive trend with strong 24h trading value,0.0,0.0,0.0,0.0,1778457495009,1778457495009
4,KRW-W,Momentum Breakout,v1,23.2,23.2,23.2,22.852,23.663999999999998,44.15316408449549,INITIAL_SIGNAL,Positive trend with strong 24h trading value,0.0,0.0,0.0,0.0,1778457495009,1778457495009
5,KRW-SEI,Momentum Breakout,v1,112.0,112.0,112.0,110.32,114.24000000000001,43.412731158306244,INITIAL_SIGNAL,Positive trend with strong 24h trading value,0.0,0.0,0.0,0.0,1778457495009,1778457495009
6,KRW-WAL,Momentum Breakout,v1,127.0,127.0,127.0,125.095,129.54,42.702400380687706,INITIAL_SIGNAL,Positive trend with strong 24h trading value,0.0,0.0,0.0,0.0,1778457495009,1778457495009
7,KRW-SAHARA,Momentum Breakout,v1,58.1,58.1,58.1,57.228500000000004,59.262,42.34784192624465,INITIAL_SIGNAL,Positive trend with strong 24h trading value,0.0,0.0,0.0,0.0,1778457495009,1778457495009
8,KRW-XRP,Momentum Breakout,v1,2158.0,2158.0,2158.0,2125.63,2201.16,41.46368444606098,INITIAL_SIGNAL,Positive trend with strong 24h trading value,0.0,0.0,0.0,0.0,1778457495009,1778457495009
9,KRW-BSV,Momentum Breakout,v1,25520.0,25520.0,25520.0,25137.2,26030.4,40.421332447583694,INITIAL_SIGNAL,Positive trend with strong 24h trading value,0.0,0.0,0.0,0.0,1778457495009,1778457495009
10,KRW-DOGE,Volume Accumulation,v1,165.0,165.0,165.0,163.35,167.475,39.69722983860797,INITIAL_SIGNAL,Stable price with high liquidity,0.0,0.0,0.0,0.0,1778457495009,1778457495009
11,KRW-XLM,Momentum Breakout,v1,249.0,249.0,249.0,245.265,253.98000000000002,39.41222300952049,INITIAL_SIGNAL,Positive trend with strong 24h trading value,0.0,0.0,0.0,0.0,1778457495009,1778457495009
12,KRW-ADA,Momentum Breakout,v1,415.0,415.0,415.0,408.775,423.3,39.04856370824647,INITIAL_SIGNAL,Positive trend with strong 24h trading value,0.0,0.0,0.0,0.0,1778457495009,1778457495009
13,KRW-ONDO,Volume Accumulation,v1,623.0,623.0,623.0,616.77,632.3449999999999,37.852591061097826,INITIAL_SIGNAL,Stable price with high liquidity,0.0,0.0,0.0,0.0,1778457495009,1778457495009
14,KRW-USDT,Rebound Watch,v1,1468.0,1468.0,1468.0,1438.6399999999999,1494.424,36.66378053424749,INITIAL_SIGNAL,Pullback with active trading volume,0.0,0.0,0.0,0.0,1778457495009,1778457495009
15,KRW-CFG,Volume Accumulation,v1,451.0,451.0,451.0,446.49,457.76499999999993,36.62582701244372,INITIAL_SIGNAL,Stable price with high liquidity,0.0,0.0,0.0,0.0,1778457495009,1778457495009
16,KRW-SOL,Volume Accumulation,v1,141400.0,141400.0,141400.0,139986.0,143521.0,35.6699917330282,INITIAL_SIGNAL,Stable price with high liquidity,0.0,0.0,0.0,0.0,1778457495009,1778457495009
17,KRW-API3,Rebound Watch,v1,544.0,544.0,544.0,533.12,553.792,34.7550519611238,INITIAL_SIGNAL,Pullback with active trading volume,0.0,0.0,0.0,0.0,1778457495009,1778457495009
