id,market,strategyName,entryPrice,stopLossPrice,targetPrice,score,reason,timestamp
1,KRW-QTUM,Momentum Breakout,1560.0,1536.6,1591.2,45.921474192168446,Positive trend with strong 24h trading value,1778431699354
2,KRW-SONIC,Momentum Breakout,63.0,62.055,64.26,45.40928286051171,Positive trend with strong 24h trading value,1778431699354
3,KRW-W,Momentum Breakout,23.3,22.9505,23.766000000000002,44.478658841920286,Positive trend with strong 24h trading value,1778431699354
4,KRW-SNT,Momentum Breakout,16.1,15.858500000000001,16.422,44.24647884149375,Positive trend with strong 24h trading value,1778431699354
5,KRW-DEEP,Momentum Breakout,57.3,56.44049999999999,58.446,42.60914391060218,Positive trend with strong 24h trading value,1778431699354
6,KRW-BSV,Momentum Breakout,25710.0,25324.35,26224.2,41.17391498698587,Positive trend with strong 24h trading value,1778431699354
7,KRW-WAL,Momentum Breakout,125.0,123.125,127.5,40.91325437331292,Positive trend with strong 24h trading value,1778431699354
8,KRW-KITE,Momentum Breakout,276.0,271.86,281.52,40.776479502620354,Positive trend with strong 24h trading value,1778431699354
9,KRW-CFG,Momentum Breakout,469.0,461.965,478.38,40.59254300047964,Positive trend with strong 24h trading value,1778431699354
10,KRW-XRP,Momentum Breakout,2160.0,2127.6,2203.2,40.487534995291256,Positive trend with strong 24h trading value,1778431699354
11,KRW-XLM,Momentum Breakout,249.0,245.265,253.98000000000002,38.820088565601466,Positive trend with strong 24h trading value,1778431699354
12,KRW-SAHARA,Rebound Watch,55.3,54.193999999999996,56.2954,37.67378041207008,Pullback with active trading volume,1778431699354
13,KRW-ONDO,Rebound Watch,617.0,604.66,628.106,36.8213061653448,Pullback with active trading volume,1778431699354
14,KRW-USDT,Rebound Watch,1468.0,1438.6399999999999,1494.424,35.658495816019496,Pullback with active trading volume,1778431699354
15,KRW-API3,Rebound Watch,547.0,536.06,556.846,35.25052958047678,Pullback with active trading volume,1778431699354
16,KRW-DOGE,Rebound Watch,160.0,156.8,162.88,35.03074229322322,Pullback with active trading volume,1778431699354
17,KRW-DRIFT,Rebound Watch,71.7,70.266,72.9906,33.51461094911858,Pullback with active trading volume,1778431699354
18,KRW-SOL,Volume Accumulation,139300.0,137907.0,141389.5,33.198917617194574,Stable price with high liquidity,1778431699354
19,KRW-CHIP,Rebound Watch,93.4,91.53200000000001,95.08120000000001,32.94338512067525,Pullback with active trading volume,1778431699354
20,KRW-ETH,Volume Accumulation,3448000.0,3413520.0,3499719.9999999995,31.510492787725543,Stable price with high liquidity,1778431699354
21,KRW-BTC,Volume Accumulation,119293000.0,118100070.0,121082394.99999999,29.710089860138204,Stable price with high liquidity,1778431699354
22,KRW-QTUM,Momentum Breakout,1564.0,1540.54,1595.28,46.20398276412321,Positive trend with strong 24h trading value,1778431729774
23,KRW-SONIC,Momentum Breakout,63.0,62.055,64.26,45.409317247182045,Positive trend with strong 24h trading value,1778431729774
24,KRW-SNT,Momentum Breakout,16.1,15.858500000000001,16.422,44.2465147268568,Positive trend with strong 24h trading value,1778431729774
25,KRW-W,Momentum Breakout,23.2,22.852,23.663999999999998,44.0157168593823,Positive trend with strong 24h trading value,1778431729774
26,KRW-DEEP,Momentum Breakout,57.4,56.538999999999994,58.548,42.79433681674219,Positive trend with strong 24h trading value,1778431729774
27,KRW-BSV,Momentum Breakout,25690.0,25304.65,26203.8,41.09002296355422,Positive trend with strong 24h trading value,1778431729774
28,KRW-WAL,Momentum Breakout,125.0,123.125,127.5,40.91343501878991,Positive trend with strong 24h trading value,1778431729774
29,KRW-KITE,Momentum Breakout,276.0,271.86,281.52,40.777580308373345,Positive trend with strong 24h trading value,1778431729774
30,KRW-XRP,Momentum Breakout,2158.0,2125.63,2201.16,40.39282866206389,Positive trend with strong 24h trading value,1778431729774
31,KRW-CFG,Momentum Breakout,468.0,460.98,477.36,40.36794972459723,Positive trend with strong 24h trading value,1778431729774
32,KRW-XLM,Momentum Breakout,249.0,245.265,253.98000000000002,38.82009398656757,Positive trend with strong 24h trading value,1778431729774
33,KRW-SAHARA,Rebound Watch,55.1,53.998,56.0918,37.318498474428225,Pullback with active trading volume,1778431729774
34,KRW-ONDO,Volume Accumulation,618.0,611.82,627.27,36.98338350913521,Stable price with high liquidity,1778431729774
35,KRW-DOGE,Rebound Watch,161.0,157.78,163.898,35.662072688094625,Pullback with active trading volume,1778431729774
36,KRW-USDT,Rebound Watch,1467.0,1437.66,1493.406,35.591885940125096,Pullback with active trading volume,1778431729774
37,KRW-API3,Rebound Watch,547.0,536.06,556.846,35.25052958047678,Pullback with active trading volume,1778431729774
38,KRW-DRIFT,Rebound Watch,71.7,70.266,72.9906,33.51461094911858,Pullback with active trading volume,1778431729774
39,KRW-SOL,Volume Accumulation,139200.0,137808.0,141288.0,33.12694561822432,Stable price with high liquidity,1778431729774
40,KRW-CHIP,Rebound Watch,93.4,91.53200000000001,95.08120000000001,32.94374361044946,Pullback with active trading volume,1778431729774
41,KRW-ETH,Volume Accumulation,3448000.0,3413520.0,3499719.9999999995,31.510979984556364,Stable price with high liquidity,1778431729774
42,KRW-BTC,Volume Accumulation,119326000.0,118132740.0,121115889.99999999,29.73822845363909,Stable price with high liquidity,1778431729774
43,KRW-QTUM,Momentum Breakout,1564.0,1540.54,1595.28,46.20408235657003,Positive trend with strong 24h trading value,1778431760021
44,KRW-SONIC,Momentum Breakout,63.0,62.055,64.26,45.409317247182045,Positive trend with strong 24h trading value,1778431760021
45,KRW-SNT,Momentum Breakout,16.1,15.858500000000001,16.422,44.24651031415051,Positive trend with strong 24h trading value,1778431760021
46,KRW-W,Momentum Breakout,23.2,22.852,23.663999999999998,44.01583532129704,Positive trend with strong 24h trading value,1778431760021
47,KRW-DEEP,Momentum Breakout,57.6,56.736,58.752,43.16467758928766,Positive trend with strong 24h trading value,1778431760021
48,KRW-BSV,Momentum Breakout,25690.0,25304.65,26203.8,41.09011695079034,Positive trend with strong 24h trading value,1778431760021
49,KRW-WAL,Momentum Breakout,125.0,123.125,127.5,40.91348451078268,Positive trend with strong 24h trading value,1778431760021
50,KRW-KITE,Momentum Breakout,276.0,271.86,281.52,40.77544033767012,Positive trend with strong 24h trading value,1778431760021
51,KRW-XRP,Momentum Breakout,2159.0,2126.615,2202.18,40.44142378638708,Positive trend with strong 24h trading value,1778431760021
52,KRW-CFG,Momentum Breakout,468.0,460.98,477.36,40.367983360331344,Positive trend with strong 24h trading value,1778431760021
53,KRW-XLM,Momentum Breakout,249.0,245.265,253.98000000000002,38.82009398656757,Positive trend with strong 24h trading value,1778431760021
54,KRW-SAHARA,Rebound Watch,55.1,53.998,56.0918,37.31806527408054,Pullback with active trading volume,1778431760021
55,KRW-ONDO,Volume Accumulation,618.0,611.82,627.27,36.983842667177726,Stable price with high liquidity,1778431760021
56,KRW-DOGE,Rebound Watch,161.0,157.78,163.898,35.6620675379355,Pullback with active trading volume,1778431760021
57,KRW-USDT,Rebound Watch,1467.0,1437.66,1493.406,35.59234650347966,Pullback with active trading volume,1778431760021
58,KRW-API3,Rebound Watch,547.0,536.06,556.846,35.25052958047678,Pullback with active trading volume,1778431760021
59,KRW-DRIFT,Rebound Watch,71.7,70.266,72.9906,33.51461094911858,Pullback with active trading volume,1778431760021
60,KRW-SOL,Volume Accumulation,139100.0,137709.0,141186.5,33.05455939924333,Stable price with high liquidity,1778431760021
